"GID"	"INC"	"DIS"	"SEV"	"VSK"	"DON"	"HD"
"MN12265-1"	50.589	6.0039	11.0892	24.7578	4.0447	172.7344
"MN12307-3"	51.822	3.212	6.9394	20.0438	6.2884	173.4011
"MN12423-5"	38.7162	2.2765	6.2266	14.4897	2.7617	173.5677
"MN12545-3"	46.9767	2.2313	5.6618	20.6592	1.6423	174.5677
"MN13056-7"	41.053	6.1387	11.4403	18.3946	3.6263	170.2543
"MN13064-2"	50.2542	8.2047	13.2233	21.7405	6.9438	172.0877
"MN13074-4"	44.3755	5.6531	10.0537	26.7827	8.5615	167.1955
"MN13288-1"	33.4734	0.5753	5.0158	17.8872	2.2814	166.2968
"MN13288-1-32"	73.3009	8.32	19.0692	23.9575	1.6167	167.5483
"MN13304-5"	49.1503	6.1829	9.4073	25.39	7.3872	173.9098
"MN13398-2"	42.6519	4.5649	7.2469	27.4576	4.11	167.6884
"MN13479-8"	56.2179	9.1697	16.2224	23.9152	7.0192	167.6169
"MN13515-8"	38.2075	1.3761	5.6948	21.1393	4.1055	170.7543
"MN14138-4"	37.4924	4.2597	6.2316	13.7311	5.2943	171.7431
"MN14164-4"	42.9484	5.0588	10.236	14.2669	4.975	169.4098
"MN14227-4"	33.205	4.9765	11.3009	23.5688	7.6529	166.3564
"MN14470-5"	54.5286	6.1271	11.9792	19.7391	8.9102	172.9098
"MN14669-1"	42.2481	2.3106	5.9668	16.9961	3.0545	175.5764
"MN15008-7"	44.3753	2.892	8.7578	16.2296	4.1508	171.5884
"MN15012-3"	68.1096	12.139	25.2722	25.5321	NA	168.9314
"MN15029-8"	60.2827	6.5393	11.54	20.2872	5.5542	175.5884
"MN15089-2"	50.8278	2.5926	7.708	16.1648	4.0538	174.255
"MN15119-2"	58.7768	5.606	10.0627	23.0099	8.3401	169.2809
"MN15136-6"	68.1096	5.4636	8.5305	21.251	NA	169.2929
"MN15155-2"	49.7286	3.5226	7.5837	17.7274	9.1431	177.1141
"MN15195-5"	53.0893	3.7036	5.5655	18.9742	4.8216	169.7014
