"GID"	"INC"	"DIS"	"SEV"	"VSK"	"DON"	"HD"
"N98-0326"	60.0298	15.1419	19.1705	58.1731	15.9163	172.954
"N98-0328"	52.0035	9.903	20.7682	45.7642	10.5346	172.204
"N98-0439"	54.5281	14.317	22.3099	48.342	7.7187	167.8964
"N99-0010"	57.5116	11.2584	17.379	28.7283	5.4278	168.8757
"N99-0011"	49.076	6.7013	11.3246	29.2388	3.2915	167.5615
"N99-0085"	59.5448	15.3132	21.3085	41.458	9.7678	170.2615
"N99-0157"	34.6872	5.244	11.0105	22.18	3.2443	166.0282
"N99-0241"	54.1132	15.4241	22.4953	49.9535	NA	171.6457
"N99-2234"	36.4512	1.3296	5.754	24.5674	NA	172.9165
"ND-HERON"	56.3255	3.6675	7.1009	22.6038	4.5797	166.6148
"ND-THRESHER"	56.312	7.0816	11.8425	23.5292	9.1469	169.0689
"ND-VITPRO"	44.0937	2.7756	7.0799	19.9598	7.3071	167.7489
"ND03_1-13"	55.6428	4.9314	10.6159	27.1161	5.4193	167.7273
"ND03_1-15"	68.8173	12.3412	16.9664	28.3669	8.1136	169.097
"ND03_1-9"	57.5088	5.7689	11.641	22.6731	7.7582	168.4541
"ND03_3-1"	61.9318	4.6547	9.6525	21.6712	6.4984	168.2764
"ND04_3-18"	68.6421	6.541	10.7462	20.3534	5.1638	168.7273
"ND04_3-19"	62.7186	8.5663	14.169	24.9554	8.923	172.2273
"ND04_3-20"	62.4152	9.397	17.634	22.1633	8.1	170.4309
"ND04_3-21"	61.2656	5.1673	10.4027	16.1069	5.093	167.5243
"ND05_1-1"	57.0942	4.6343	10.6448	16.6161	5.4227	168.2688
"ND05_1-2"	64.8665	7.3208	14.5155	27.8218	9.8729	168.376
"ND05_1-3"	67.2012	15.2321	24.4532	46.2306	17.106	170.4974
"ND07_3-10"	45.8727	1.6734	6.1089	19.7295	3.6522	160.9921
"ND07_3-11"	45.2017	2.5671	6.8008	41.5429	9.0055	162.3532
"ND07_3-12"	45.9503	2.2142	6.4811	29.381	5.9911	161.9087
"ND08_3-11"	51.3664	3.822	8.5909	24.0381	6.1362	160.9921
"ND08_3-12"	43.4889	1.5208	5.3507	24.016	4.5405	162.3254
"ND09_URSN-1"	47.0296	4.7334	9.5466	22.5266	5.5351	170.5103
"ND09_URSN-2"	42.9443	2.813	7.0603	21.0418	4.9889	168.6547
"ND09_URSN-3"	45.7559	4.4516	8.6091	20.0594	5.0416	169.4047
"ND09_URSN-4"	54.8047	4.73	9.1519	18.1198	5.1444	170.4325
"ND09_URSN-5"	55.0622	5.176	9.4451	27.1447	7.9741	169.0991
"ND2603"	35.0353	5.4258	16.6013	31.7865	NA	NA
"ND2604"	47.1495	4.2936	14.7565	43.7872	NA	NA
"ND2710"	19.7397	0.8514	4.3816	19.4182	3.7252	169.3739
"ND2713"	24.1571	1.7224	5.0926	17.0507	NA	NA
"ND2729"	28.154	4.1425	16.4004	36.5688	NA	NA
"ND2731"	NA	1.8072	9.2973	32.704	NA	NA
"ND2736"	37.8654	1.8663	2.4742	20.7489	NA	NA
"ND2763"	NA	0.2671	2.6582	14.5771	NA	NA
"ND2764"	30.8592	0.9789	2.9502	14.6339	NA	NA
"ND2790"	57.2232	3.6286	7.6795	20.3975	8.0713	169.4764
"ND2827"	26.6601	1.957	12.7433	23.238	6.8092	NA
"ND2831"	65.632	3.9929	4.335	24.2418	NA	168.5015
"ND2836"	38.1222	3.5658	13.4286	29.0019	7.3995	NA
"ND2852"	13.7201	2.046	6.3518	21.5585	6.3961	170.6123
"ND2891"	54.4214	5.5185	5.3039	17.815	5.997	167.7236
"ND2897"	34.8747	2.1162	6.0313	18.9886	3.2847	170.1789
"ND2906"	38.0786	4.8575	6.3158	16.6237	5.1936	168.8456
"ND2928"	21.0414	0.6996	2.7974	18.8406	1.3244	171.7649
"ND2941"	63.8652	5.1376	5.4534	19.8458	NA	168.1682
"ND2955"	39.5312	3.8682	8.2798	20.1604	2.1854	171.5949
"ND2959"	43.9333	4.4587	9.2663	23.1875	4.447	169.7956
"ND2978"	34.1804	2.2899	6.9979	22.647	6.6255	166.2297
"ND3006"	38.714	4.3763	9.1888	27.2413	4.942	169.3615
"ND3015"	64.3687	10.2042	15.5545	25.9986	8.2177	168.5708
"ND3020"	42.4171	3.912	12.7742	27.1783	10.0841	166.2651
"ND3035"	56.4729	10.6568	17.2241	37.0257	8.079	169.463
"ND3043"	62.2662	9.9577	15.6711	27.9827	10.3709	168.9964
"ND3044"	45.7554	5.5935	11.2814	17.9104	3.8148	167.9964
"ND3078"	50.2929	6.4515	14.8918	27.6016	7.8728	167.7651
"ND3085"	25.0943	1.522	7.7359	18.7983	4.5164	165.7651
"ND3088"	44.997	3.2686	9.9097	28.6026	5.6449	168.7651
"ND3098"	55.4816	7.0646	15.0753	28.7821	9.0305	167.2651
"ND674"	42.9142	11.347	13.2188	31.5809	NA	NA
"ND675"	25.1124	4.3666	12.8913	NA	NA	NA
"ND681"	20.9605	2.7091	9.3522	NA	NA	NA
"ND682"	46.5547	8.2684	14.1399	NA	NA	NA
"ND686"	40.986	9.9163	15.7654	36.9712	NA	NA
"ND688"	81.0163	14.3132	14.1624	39.1536	NA	NA
"ND691"	32.15	3.6595	9.0752	36.466	12.2603	NA
"ND692"	60.1071	23.0853	27.8774	37.0901	NA	NA
"ND704"	64.1727	18.8537	18.867	23.5522	NA	NA
"ND705"	56.3757	8.767	15.4431	30.8783	NA	NA
"ND706"	59.86	10.638	17.5195	39.6521	NA	NA
"ND709-9"	39.0343	3.3232	13.3406	21.5997	6.6447	170.8565
"ND712-12"	40.9534	5.726	11.0714	29.9038	4.4573	169.2615
"ND721"	45.0374	7.128	21.4557	27.9759	6.5004	170.8232
"ND726"	38.2714	4.5713	16.7687	22.1603	5.7187	170.3898
"ND729"	67.4198	14.3474	24.5073	29.8039	9.5372	171.6893
"ND739"	49.2169	5.6825	13.2575	36.8302	5.187	169.954
"ND740"	44.6756	8.739	16.7323	29.5702	NA	170.1385
"ND742"	67.6778	9.0814	14.6975	28.2813	NA	171.1385
"ND743"	65.7336	13.8155	21.0267	28.2813	NA	170.1385
"ND744"	37.643	1.356	8.4051	17.1319	4.4493	168.704
"ND749"	33.2548	3.1757	10.0908	20.139	6.3986	170.204
"ND750"	52.0035	3.9197	12.0581	22.175	7.1638	170.204
"ND751"	39.5093	2.4086	6.5279	20.6037	NA	172.6457
"ND801"	40.4219	2.5665	7.4007	20.4259	NA	170.9957
"ND819"	59.5704	7.4489	12.5292	32.1635	6.6037	165.2161
"ND820"	52.7203	5.6128	11.9873	23.9032	6.0493	165.4657
"ND821"	57.7322	8.9817	16.5199	25.6504	7.7334	166.2994
"ND822"	47.2461	3.5217	8.4651	25.1505	7.3999	165.8014
"ND823"	40.91	5.9724	12.5635	22.1779	5.6515	166.1827
"ND824"	31.0064	1.8872	6.361	18.1125	4.6211	166.4862
"ND828"	47.0753	4.4242	9.2068	16.8309	6.3927	168.968
"ND830"	48.2689	6.0017	12.0816	22.7767	7.5821	165.3573
"ND833"	43.9442	4.2234	9.2124	21.0581	6.4929	164.0128
"NDHRS11-0244-0001"	56.5975	8.4108	15.8519	21.615	7.8906	168.4723
"NDHRS12-1031-0007"	57.2857	6.7202	14.5048	24.3189	7.0261	166.9316
"NDHRS13-0100-C01"	54.4147	7.0313	10.1017	25.8049	7.744	167.1471
"NDHRS13-0114-C06"	45.658	3.847	8.474	23.7838	7.0094	168.026
"NDHRS13-0121-C05"	49.4833	6.0012	11.8266	20.0558	6.1477	168.526
"NDHRS13-0156-C04"	43.4411	5.0212	9.8391	29.8432	5.2305	168.6897
"NDHRS13-0170-0004"	49.6344	3.7995	8.5248	19.0598	4.525	169.3201
"NDHRS13-0177-0001"	56.6159	5.8506	10.947	25.8018	8.8948	170.1063
"NDHRS13-0215-C03"	38.9688	2.4153	7.6658	24.1314	5.3668	166.8594
"NDHRS13-0309-B03"	36.798	2.5712	7.4262	26.5595	5.6155	172.6897
"NDHRS13-0318-0003"	54.9815	6.2745	11.5493	22.7413	6.6341	167.526
"NDHRS14-0134-C03"	53.4745	9.2027	17.5973	33.041	8.8395	166.8772
"NDHRS14-0134-C09"	56.3057	7.744	14.126	29.3562	10.5572	168.3982
"NDHRS14-0136-C06"	51.9844	6.6673	11.8557	26.7091	12.1852	173.2808
"NDHRS15-0006-B02"	29.1297	2.7544	7.037	20.6584	6.5227	170.7299
"NDHRS15-0006-C29"	56.8716	5.6433	10.1577	19.9491	6.3893	171.2648
"NDHRS15-0006-C46"	51.3091	5.1579	6.5339	27.9152	7.877	167.3221
"NDHRS15-0037-C52"	55.0812	7.4862	12.7194	18.7158	8.3108	173.2344
"NDHRS15-0405-C34"	56.4401	6.5242	11.2263	24.6213	7.3885	171.4049
"NDHRS16-12-19"	54.0496	11.4302	16.3059	26.1277	9.6729	166.4823
"NDHRS16-12-31"	41.2547	2.6503	7.3152	20.6738	5.9236	165.7601
"NDHRS16-12-52"	37.2611	2.8579	6.3575	19.0296	3.6576	167.9101
"NDHRS16-13-13"	59.9928	7.4346	11.9972	27.941	7.1715	168.4798
"NDHRS16-13-29"	59.355	8.1707	13.2523	34.7178	9.3596	167.2483
"NDHRS16-13-89"	40.5795	2.1473	6.6233	21.5625	3.5088	164.7083
"NDHRS16-13-97"	44.8924	3.394	6.6931	33.6066	7.9723	167.4046
"NDHRS16-14-12"	53.8174	4.9368	10.6264	28.3533	5.7355	175.5884
"NDHRS16-14-36"	53.2391	4.3136	8.0073	21.6758	5.9658	166.6424
"NDHRS16-14-41"	72.4765	11.5029	22.8496	27.239	3.9708	169.6283
"NDHRS16-14-91"	52.953	2.8846	8.4493	24.716	5.6234	172.9217
"NDHRS16-15-320"	51.6912	3.0992	6.4989	16.7991	4.0085	167.4697
"NDHRS16-16-654"	60.1829	7.4695	13.5025	32.9959	13.9769	167.8697
"NDHRS16-16-665"	20.2078	0.8038	4.3256	13.0228	5.8475	174.9474
"NDHRS16-16-678"	48.8951	8.5291	13.0304	25.8571	7.8639	168.1055
"NDHRS16RIL-0190-019"	41.6921	5.408	11.2737	24.2014	8.1626	171.2388
"NDHRS17-0149-C17"	56.7281	3.5846	6.0692	26.7558	8.1927	167.5413
"NDHRS17-0596-B28"	49.4733	6.6683	13.6712	28.2106	4.9842	171.6897
"NDHRS17DH-0467-056"	58.9761	10.2001	16.1122	29.5313	10.8275	171.8509
"NDHRS18-0039-B081"	63.6732	6.8943	11.6088	39.0938	11.9127	170.2469
"NDHRS18-0069-B066"	63.6732	8.3854	14.634	35.4839	6.6092	168.6803
"NDHRS18-0069-B077"	57.0492	2.4397	5.452	22.3762	7.168	169.7414
"NDHRS18-0105-B080"	21.7562	0.2864	3.2507	15.9	3.7114	170.7414
"NDHRS18-0178-B057"	56.4978	8.7033	13.9637	21.0206	5.7585	169.6303
"NDHRS18-0180-B101"	53.7024	6.042	10.6903	16.1545	5.7394	168.5303
"NDHRS18-0187-C042"	51.6408	4.9025	7.7069	25.4314	9.9616	168.1803
"NDHRS18-0261-B234"	48.0716	4.2721	8.6698	26.0184	5.7047	169.5192
"NDHRS18-6306-C01"	63.6732	10.6469	17.304	36.2602	12.1438	167.6136
"NDHRS19RIL-0121-212-1"	48.3672	3.2299	7.2524	28.3506	5.0347	167.6303
"NDSURF2398"	59.8563	8.2505	13.8946	48.378	NA	NA
"NDSW0217"	54.0733	25.4658	33.5118	26.0181	NA	172.1318
"NDSW0246"	52.8117	16.51	23.2068	42.2088	10.9053	172.5602
"NDSW0345"	56.6956	13.5371	21.5456	28.9616	14.6512	173.0758
"NDSW0347"	52.5286	7.1628	12.1644	24.7668	NA	172.2151
"NDSW0348"	60.2712	11.1674	18.0759	30.8944	9.7231	170.2537
"NDSW0350"	63.6575	13.1056	19.8034	37.7043	10.9982	168.5342
"NDSW0430"	54.1993	3.3399	8.7422	21.1128	5.6278	169.3716
"NDSW0481"	64.2233	14.6042	22.655	29.8761	12.1001	171.7614
"NDSW0501"	71.6401	9.7908	23.3354	54.4547	13.1123	169.5186
"NDSW0601"	67.2012	15.7554	26.7924	36.2941	19.8331	171.7402
"NDSW0612"	53.6949	10.9681	24.1625	31.4541	13.6168	171.3931
"NDSW0701"	64.8111	7.0765	12.3663	31.4923	8.4854	167.7779
"NDSW0702"	70.2141	15.8465	27.0179	72.361	12.6186	169.3173
"NDSW0703"	65.4643	18.0846	31.4639	67.0059	13.3707	169.0897
"NDSW0714"	50.8311	5.5768	10.6759	22.9664	7.5032	168.751
"NDSW0715"	52.8012	4.8721	9.6656	20.8387	6.4046	169.5692
"NDSW16027"	60.5303	8.605	16.3178	30.4159	NA	168.5699
"NE-108-46"	70.3802	20.8127	29.6777	76.825	14.4599	173.2009
"NE-188-24"	76.9959	30.9455	39.0702	38.2185	15.8311	174.7009
"NH027"	69.9412	8.0532	15.5803	17.9837	4.8216	168.3099
"NH056"	38.0154	1.6288	1.4516	18.678	NA	168.0237
"NH057"	25.4002	3.478	6.8541	17.1645	NA	167.6699
"NH058"	60.5303	4.4777	5.2209	20.375	NA	166.8622
"NH069"	49.0576	5.862	13.6281	22.084	4.8409	167.7679
"NORDEN"	68.3843	10.55	16.6129	27.8051	12.5257	171.3474
"NORM"	57.4773	17.5381	24.1779	56.7892	21.1388	174.4064
"NORPRO"	63.4325	17.9139	21.3477	38.5978	NA	NA
"NP11100135-1"	60.5303	6.5295	10.3997	26.2884	NA	167.0083
"NP11100245-26"	68.1096	14.9049	31.5838	34.8497	NA	166.6775
"NP11100267-10"	64.383	9.0717	17.6547	58.3421	NA	165.8545
"NP11100273-23"	38.0154	4.0564	8.9202	31.9231	NA	165.5391
"NP12100434-20"	42.6847	5.469	10.0623	21.2789	3.7071	168.984
"NP12100509-2"	47.0384	2.7876	4.6954	25.2213	4.6891	166.534
"NP12100602-18"	64.383	3.478	3.5083	24.767	NA	166.0237
"NP12100660-3"	50.2505	5.2677	9.9868	26.2728	7.6227	167.7197
"NP13DD10116019"	39.0126	5.2205	8.7153	28.3593	5.9063	166.2626
"NX95-5106"	72.252	20.0091	24.7214	53.4134	NA	NA
"NX95-5160"	53.942	NA	37.25	48.7832	NA	NA
"OKLEE"	37.2844	7.1265	18.7497	30.1746	NA	NA
"OSLO"	61.8674	19.7867	26.1665	49.1445	11.2158	168.9326
"OXEN"	64.5827	19.9291	19.2033	43.4011	NA	NA
"PARSHALL"	44.8369	6.6404	12.89	28.29	5.9329	NA
"PH986-61"	29.7883	6.8345	17.415	NA	NA	NA
"PI104131"	38.8907	4.1169	9.4288	16.0426	3.9978	168.663
"PI163429"	40.9128	5.6498	18.2655	24.2384	6.7407	168.8568
"PI168727"	48.2715	7.8909	19.2281	28.0286	10.3698	171.8568
"PI182561"	20.629	5.5217	11.3304	34.9292	2.8079	170.0282
"PI185380"	50.9757	8.6722	15.0669	29.5778	5.599	172.9964
"PI185843"	21.1008	2.9387	13.15	19.3142	4.2373	172.8568
"PI189816"	68.7247	17.5049	26.0096	26.6077	4.9211	169.3389
"PI197664"	54.1721	1.1767	4.5755	21.7986	4.4443	167.5889
"PI225396"	60.0521	10.1609	18.4889	22.3629	7.9402	168.5056
"PI264940"	49.1264	5.7042	16.2396	26.8499	5.7964	171.8568
"PI345731"	36.0482	3.579	14.5957	23.5669	5.8627	164.8568
"PI349478"	NA	0.6552	4.9443	19.4748	2.4813	167.2297
"PI350768"	NA	0.1592	3.5418	14.6212	2.3368	167.9964
"PI382140"	14.3944	1.2247	5.3707	20.6423	2.8899	168.2297
"PI382161"	NA	2.6217	7.938	17.4668	1.6667	167.8949
"PI382167"	25.5083	3.2579	7.9663	19.5277	2.7842	176.2615
"PI69321"	11.008	0.9791	7.3317	13.2516	2.5134	170.5889
"PI74494"	52.5154	4.0065	10.5728	17.8934	5.4256	171.8389
"PI81791"	30.036	4.1743	9.2488	19.6903	2.7764	176.9282
"PREVAIL"	23.2414	5.7153	13.5458	35.5078	6.263	167.6979
"PROSPECT"	75.4511	21.1328	26.7093	NA	NA	NA
"PROSPER"	45.7101	5.2659	9.6469	25.5114	7.2347	169.0337
"PT436"	28.7815	7.781	19.3688	25.554	3.8643	167.7009
"PT472"	75.2257	19.8144	40.9229	31.6001	9.2379	166.6252
"RB07"	54.4009	9.4822	15.2914	30.2575	NA	170.8457
"REEDER"	61.9192	13.7547	18.2532	32.5977	NA	167.8808
"RIL39"	25.2165	2.104	7.7798	14.9226	2.0897	167.8032
"RIL60"	44.8803	5.4946	10.6584	18.9376	2.3844	166.9532
"RIL64"	11.2109	1.9815	7.9583	32.3513	2.0216	167.3032
"RIL80"	42.9873	5.9123	9.2463	24.9997	5.8728	169.1532
"RIL83"	NA	1.4183	8.2094	14.6661	0.9776	161.9532
"RL4788"	48.4928	10.2372	18.0868	25.7863	NA	NA
"RL4927"	48.0859	6.7348	11.9958	27.4618	3.9462	167.9282
"RL4958"	71.0125	15.2543	21.6821	30.1738	NA	171.1385
"RL4970"	32.4492	4.2445	8.3308	18.8402	1.9898	170.5615
"RL4972"	55.0995	8.488	13.5864	25.3333	3.5951	167.6949
"ROBLIN"	69.4334	31.1422	39.2424	66.8706	11.5796	169.2683
"ROLLAG"	56.4514	5.9247	10.4034	24.3469	6.0039	170.2848
"RUGBY"	62.9472	15.0321	22.7177	42.9799	12.9512	169.5102
"RUSH"	52.5285	7.913	13.4058	33.5686	NA	169.6318
"RUSS"	50.7323	8.4606	17.096	NA	NA	NA
"SABIN"	48.0833	3.2895	7.7645	23.0738	5.6805	167.5332
"SAMSON"	76.9959	46.7917	56.6737	53.3752	24.4323	169.7009
"SBE0444"	54.2625	20.628	22.9544	NA	NA	NA
"SBF0402"	61.3964	10.534	14.6575	34.3086	NA	NA
"SBF402"	40.6169	NA	4.2545	11.3973	NA	NA
"SCARLETT"	65.8424	21.3847	29.7154	48.3773	NA	NA
"SCHOLAR"	64.7358	22.183	27.9237	40.6597	11.4507	NA
"SD-ADB54"	45.1602	3.9573	14.7818	29.2897	5.4889	NA
"SD-ADB61"	27.7176	0.8367	7.3915	20.2815	6.8687	NA
"SD-ADB9"	27.8074	2.6104	8.6306	20.8433	7.0388	NA
"SD0005"	51.0925	9.1918	19.0465	NA	NA	NA
"SD0007"	40.986	12.9493	21.433	30.4987	NA	NA
"SD0014"	69.8631	21.2809	22.554	41.2619	NA	NA
"SD3056"	36.1572	11.128	24.7719	NA	NA	NA
"SD31219"	55.077	11.3278	22.4455	25.3063	NA	NA
"SD3151"	65.8426	12.1395	15.8846	35.3264	NA	NA
"SD3161"	83.3045	14.1657	13.4539	59.1311	NA	NA
"SD3164"	58.4573	12.0858	17.9546	54.9418	NA	NA
"SD3165"	55.6655	8.3276	12.0534	52.8443	NA	NA
"SD3195"	NA	0.5249	5.3425	29.4061	NA	NA
"SD3236"	50.7753	6.2712	11.8392	24.0671	NA	NA
"SD3247"	52.2073	10.232	22.5164	28.0365	NA	NA
"SD3290"	55.1887	16.0111	21.2091	33.0492	NA	NA
"SD3300"	42.3177	8.8184	14.0538	29.1882	NA	NA
"SD3310"	51.5318	6.1224	11.8705	20.0684	NA	166.5015
"SD3317"	54.225	13.4428	16.0423	27.6758	NA	NA
"SD3330"	73.5173	27.3639	22.2225	33.7081	NA	NA
"SD3345"	45.7376	8.5013	18.7926	24.5103	7.7325	166.7789
"SD3347"	51.4867	7.2635	23.1574	35.0071	7.3824	NA
"SD3355"	62.5018	9.3823	23.4965	49.3988	11.2074	NA
"SD3356"	64.329	19.0605	27.5535	30.68	NA	NA
"SD3407"	56.4948	7.1526	12.3712	26.3274	NA	166.5015
"SD3414"	48.5198	2.5845	7.1118	17.5376	NA	165.8349
"SD3415"	NA	1.0654	6.2403	24.2127	3.0726	166.5123
"SD3423"	41.2259	3.2843	9.2068	21.7717	5.1936	166.5123
"SD3452"	NA	2.438	8.2169	31.5986	9.2177	169.1123
"SD3496"	63.4269	10.4538	19.5889	29.9486	10.2661	167.8893
"SD3506"	65.032	9.4969	17.668	26.9394	10.2426	171.5693
"SD3521"	57.0645	2.7026	3.1508	13.4662	NA	166.5015
"SD3522"	52.0022	4.6878	13.9839	29.3045	9.6446	169.6232
"SD3523"	40.5	2.907	5.6563	21.0008	3.5503	168.9815
"SD3524"	22.5486	3.414	8.6268	18.0914	2.0689	167.6949
"SD3533"	47.2991	6.7845	14.9674	30.7198	8.0327	167.3596
"SD3540"	51.5032	7.692	12.9366	26.6753	8.802	168.753
"SD3561"	44.8934	8.6739	15.1039	32.828	4.2665	165.6949
"SD3562"	30.8987	3.7803	9.3464	26.9896	2.9907	167.0282
"SD3588"	29.6441	3.5078	8.6768	24.5895	2.9083	165.6949
"SD3599"	42.0833	5.1997	11.7095	31.4388	5.6537	166.563
"SD3618"	47.278	2.8223	7.1329	34.7055	NA	170.6957
"SD3623"	45.7565	10.3024	19.0783	30.5206	6.7343	168.704
"SD3624"	45.0912	5.2059	11.5477	23.0125	5.561	166.1297
"SD3635"	51.4604	7.8166	13.5752	27.5659	NA	171.6457
"SD3641"	45.2534	8.6382	16.1105	22.0503	3.7225	166.9352
"SD3650"	28.5051	1.7557	6.2874	21.6063	3.7432	165.3297
"SD3657"	48.3569	11.3352	18.7878	47.5846	11.8611	166.9964
"SD3666"	31.5333	3.5396	8.9927	24.6826	3.5667	167.2297
"SD3668"	49.3385	5.0101	9.5412	42.0663	NA	169.0485
"SD3686"	42.2841	3.861	12.357	28.2675	6.5016	165.2651
"SD3692"	40.1149	2.0794	8.7029	32.615	8.5749	165.2651
"SD3696"	12.9364	0.905	9.2359	18.1084	3.2921	166.7651
"SD3718"	61.7708	14.0024	23.8482	42.4351	8.5989	166.2651
"SD3739"	44.1179	5.068	10.4565	22.1017	5.1661	169.0775
"SD3746"	57.9153	16.4307	23.9122	51.7829	10.3774	169.8713
"SD3747"	50.979	11.9616	18.3632	50.076	NA	169.5485
"SD3754"	61.9549	15.1207	22.0984	35.0992	9.1684	168.4108
"SD3776"	48.2542	4.0757	9.1854	18.7666	5.3393	166.9775
"SD3784"	50.0947	3.7104	9.0206	27.7012	6.5033	170.1775
"SD3854"	11.784	4.3	15.7899	30.8944	4.4876	167.2537
"SD3868"	40.4567	4.5221	12.5311	22.7113	4.5289	170.7273
"SD3870"	23.2134	4.1499	13.0916	26.0997	4.4876	167.2537
"SD3895"	40.7799	1.0414	4.6473	23.4705	3.5656	167.5642
"SD3901"	12.8669	0.043	2.4685	21.134	3.8514	166.8642
"SD3911"	55.7226	3.5209	8.5251	27.2628	5.0522	164.9642
"SD3924"	49.7072	5.2113	11.6817	27.2973	5.9124	166.6198
"SD3934"	NA	0.8671	2.6381	13.3678	3.6755	166.262
"SD3936"	46.9677	1.1947	4.8664	23.3114	4.9607	167.7309
"SD3942"	51.3348	2.1677	6.8578	22.6416	4.592	160.9496
"SD3943"	51.5655	1.4656	5.3863	15.3014	3.819	166.5114
"SD3944"	58.8133	3.9625	9.0929	17.2707	4.04	166.7614
"SD3956"	61.3566	14.0247	22.1472	26.6991	5.7765	166.822
"SD3973"	49.5598	7.1609	13.3225	22.844	2.365	166.1481
"SD3975"	42.3919	3.6152	9.743	21.6588	3.478	163.8148
"SD3979"	43.5344	5.7209	12.199	21.2937	2.1564	166.8148
"SD3989"	33.3102	3.6513	9.5232	24.627	7.6516	166.8148
"SD3991"	57.6911	11.1797	17.6287	24.7586	4.1736	167.1481
"SD4001"	NA	0.5297	4.5719	24.2435	5.4848	169.2009
"SD4011"	26.2073	2.0543	5.0598	23.8971	4.8257	166.1673
"SD4024"	52.4064	9.0658	16.2077	27.0926	6.3677	170.0535
"SD4027"	41.1204	3.0228	7.1769	23.5954	5.2204	164.5247
"SD4036"	58.1576	8.1471	15.9662	36.6605	4.9286	167.5724
"SD4041"	52.8131	1.0015	8.34	18.527	2.8044	163.5953
"SD4042"	60.6938	12.3948	19.4772	17.0128	8.4356	167.5953
"SD4059"	32.4889	2.4235	6.7592	27.3571	4.2713	166.6339
"SD4066"	63.2045	8.6297	14.5624	26.6965	8.0844	170.9287
"SD4073"	45.0811	8.4226	15.8282	16.0928	2.243	170.6493
"SD4076"	67.8398	9.0813	19.4423	30.024	6.4315	164.5897
"SD4112"	57.0801	4.888	8.6537	26.0301	4.234	165.4587
"SD4181"	NA	0.1216	2.0975	20.2097	2.8676	159.6587
"SD4182"	NA	0.2387	3.0217	15.1135	2.5881	161.5199
"SD4186"	13.7552	0.2949	3.2923	17.6138	2.7461	160.2421
"SD4189"	34.4987	3.8259	4.5379	24.1502	7.0458	167.4434
"SD4192"	32.172	1.5665	6.4476	18.367	3.5969	159.5476
"SD4313"	38.752	1.5175	5.3361	26.3535	4.0697	166.6392
"SD4321"	NA	0.6521	3.2347	20.5694	3.4446	166.2888
"SD4331"	46.8179	3.8936	9.1951	35.2706	9.1386	166.8461
"SD4337"	38.2156	4.1389	10.5233	22.6615	6.6661	167.7461
"SD4338"	49.0395	2.035	6.0061	21.2396	5.53	166.9572
"SD4343"	40.429	0.089	1.9126	17.2898	3.3536	170.535
"SD4361"	48.9495	5.1002	11.386	22.0498	3.9978	166.6133
"SD4366"	50.9969	3.8384	8.678	22.0893	4.6163	167.4466
"SD4388"	45.8029	6.2547	12.9732	23.9817	5.089	167.7799
"SD4393"	50.3683	2.6231	7.6981	22.1701	5.4265	165.8905
"SD4394"	45.7827	3.8581	9.7929	19.8765	3.2472	167.2799
"SD4397"	33.3436	2.0237	7.4267	19.6822	4.0209	167.6133
"SD4403"	48.3593	3.8101	9.3515	25.689	4.7786	168.0515
"SD4465"	49.5715	5.1624	11.9314	29.0523	5.8218	164.9836
"SD4471"	31.1529	5.0122	16.9709	25.3067	6.0876	165.2244
"SD4487"	59.1174	14.3227	20.2406	31.7271	9.4219	170.8422
"SD4492"	54.0417	7.4762	18.8897	29.0508	7.9709	164.4744
"SD4496"	38.9936	3.0236	10.6305	24.7319	6.1949	165.5661
"SD4504"	25.013	1.9158	5.6813	24.3732	6.9237	170.7919
"SD4508"	24.9714	2.6676	7.2432	21.3115	6.3868	170.6252
"SD4510"	32.8558	2.3548	6.262	21.7793	5.0058	170.6252
"SD4514"	NA	1.2125	7.0905	22.522	3.8133	171.1252
"SD4518"	50.6276	7.8386	13.5775	23.5374	5.1437	169.3422
"SD4529"	35.8443	2.8931	6.7605	28.9238	6.7712	165.317
"SD4536"	36.4318	6.9279	13.8198	25.4634	5.7213	169.3422
"SD4539"	41.0162	3.1872	8.2961	22.8838	4.7757	166.3377
"SD4541"	49.3988	8.4007	13.629	22.0508	5.2066	169.1756
"SD4544"	44.7959	7.1115	12.5601	37.0195	7.5415	168.1756
"SD4546"	30.8564	2.4713	6.9845	18.7202	3.4034	163.3227
"SD4559"	39.9477	2.2239	6.0993	16.8894	4.1873	171.4011
"SD4579"	38.0315	3.286	8.6791	17.2207	3.6972	165.2586
"SD4582"	36.6349	0.3459	2.6336	11.1129	1.7749	171.9011
"SD4587"	23.6838	2.1953	7.7861	18.1894	6.4287	170.5877
"SD4589"	42.8619	3.6682	8.6419	24.3304	2.3871	170.921
"SD4595"	47.1452	3.4556	7.717	20.4836	6.9272	172.5677
"SD4605"	45.3891	4.9112	10.2483	21.637	5.6422	172.4011
"SD4607"	36.951	3.9151	8.9547	21.2422	3.9688	172.5677
"SD4621"	34.8955	4.3942	10.3368	17.3865	4.8351	171.5877
"SD4645"	45.1501	5.3439	10.9044	21.8211	5.779	170.921
"SD4675"	40.5751	4.2336	10.2003	18.4271	6.3264	176.2543
"SD4691"	33.229	1.8326	5.8564	17.6978	3.5025	169.0764
"SD4705"	19.6125	1.4155	5.1386	14.8899	4.2437	168.9098
"SD4706"	59.355	7.0429	11.0174	44.5515	9.3596	162.8022
"SD4708"	65.4052	6.8041	11.7638	27.7246	4.2544	165.5706
