trait	transformation	missing.data.percent	ngeno	nobs	fixed.effects	random.effects	min	max	mean	sd	reliability
INC	squared	53	1300	6031	GID, NURSERY, YEAR	LOC, YEAR:LOC	0.5	100	93	24.9	0.663
DIS	sqrt	47	1317	6718	GID	LOC, YEAR:LOC	0	100	26	21.1	0.795
SEV	sqrt	51	1300	6265	GID, YEAR	LOC, YEAR:LOC	0.1	100	29.5	21.6	0.774
VSK	sqrt	48	1303	6604	GID, NURSERY, YEAR	LOC, YEAR:LOC	0	98.3	16	18.4	0.786
DON	log10	70	1077	3767	GID, NURSERY, YEAR	LOC, YEAR:LOC	0.1	77.1	6.4	8.3	0.799
HD	none	29	1157	9083	GID, NURSERY, YEAR	LOC, YEAR:LOC	153.5	214	180.8	9	0.818
